element,laminate,n,nodes,elements,Ufe,Uref,rel_error,Bmax,status,case
comp_dkmq24,sym_crossply,4,25,16,4.45319442943961,4.45319442943961,0.0,0.0,PASS,coupled
comp_dkmq24,unsym_crossply,4,25,16,4.211556766083528,4.211556766083528,0.0,1571627.0787387495,PASS,coupled
comp_dkmt18,sym_crossply,4,25,32,4.453194429439612,4.45319442943961,3.988949657479445e-16,0.0,PASS,coupled
comp_dkmt18,unsym_crossply,4,25,32,4.211556766083527,4.211556766083528,2.108907629722092e-16,1571627.0787387495,PASS,coupled
