mode,arpack_hz,chase_hz,feast_hz,chase_vs_arpack_pct,feast_vs_arpack_pct,chase_status,feast_status
1,79.910100,79.910100,79.922390,0.000000,0.015380,ARPACK_FALLBACK,FEAST_NATIVE
2,134.194000,134.194000,134.196500,0.000000,0.001863,ARPACK_FALLBACK,FEAST_NATIVE
3,239.807800,239.807800,239.814700,0.000000,0.002877,ARPACK_FALLBACK,FEAST_NATIVE
4,327.483000,327.483000,327.485900,0.000000,0.000886,ARPACK_FALLBACK,FEAST_NATIVE
5,364.480800,364.480800,364.484900,0.000000,0.001125,ARPACK_FALLBACK,FEAST_NATIVE
6,520.463100,520.463100,520.464800,0.000000,0.000327,ARPACK_FALLBACK,FEAST_NATIVE
